PACKPRICE,sum_of_salesday,Spend,s_date_year,s_date_month,s_date_dayofmonth,sale_pdp,Pampers_sale_rpi,Mamypoko_sale_rpi,Pampers_offer_rpi,Mamypoko_offer_rpi,MerchantCode_number
11.2,162,131.0,2022,3,31,17.1796875,0.0,0.036974474,0.17037037,0.089430894,1
11.6,80,108.0,2022,4,3,17.1796875,0.0,0.036974474,0.079365079,-0.035714286,1
11.3,122,141.0,2022,4,8,17.1796875,0.0,0.036974474,0.124031008,0.025862069,1
11.3,86,0.0,2022,4,15,17.1796875,0.0,0.036974474,0.124031008,-0.008928571,1
11.3,97,121.0,2022,4,18,17.1796875,0.0,0.036974474,0.124031008,-0.008928571,1
12.0,79,178.0,2022,4,19,17.1796875,0.0,0.036974474,0.069767442,-0.008403361,1
12.0,76,257.0,2022,4,20,17.1796875,0.0,0.036974474,0.069767442,-0.008403361,1
12.0,74,308.0,2022,4,22,17.1796875,0.0,0.036974474,0.069767442,-0.008403361,1
12.0,62,359.0,2022,4,23,17.1796875,0.0,0.036974474,0.069767442,-0.008403361,1
12.0,71,114.0,2022,4,26,17.1796875,0.0,0.036974474,0.069767442,-0.034482759,1
11.2,90,55.0,2022,5,4,17.1796875,0.0,0.036974474,0.050847458,0.01754386,1
10.9,119,0.0,2022,5,6,17.1796875,0.08336807,0.036974474,0.076271186,0.043859649,1
11.2,122,31.0,2022,5,9,17.1796875,0.08336807,0.036974474,0.096774194,0.034482759,1
11.2,134,503.0,2022,5,11,17.1796875,0.08336807,0.036974474,0.131782946,0.0,1
12.0,90,59.0,2022,5,14,17.1796875,0.08336807,0.036974474,0.069767442,-0.008403361,1
12.0,112,239.0,2022,5,17,17.1796875,0.08336807,0.036974474,0.0625,-0.008403361,1
12.0,112,654.0,2022,5,28,17.1796875,0.08336807,0.036974474,0.069767442,-0.034482759,1
11.6,117,473.0,2022,6,1,17.1796875,0.08336807,0.036974474,0.100775194,0.0,1
11.6,169,1198.0,2022,6,2,18.7421875,0.0,-0.050613113,0.100775194,0.0,1
11.6,142,1701.0,2022,6,7,18.7421875,0.0,-0.050613113,0.100775194,0.0,1
12.0,133,1125.0,2022,6,9,18.7421875,0.0,-0.050613113,0.097744361,-0.034482759,1
12.0,81,1561.0,2022,6,14,18.7421875,-0.143469971,-0.050613113,0.25,-0.071428571,1
11.4,121,1492.0,2022,6,19,18.7421875,0.0,-0.050613113,0.11627907,-0.027027027,1
11.4,146,1192.0,2022,6,20,18.7421875,0.0,-0.050613113,0.11627907,-0.027027027,1
11.8,100,2232.0,2022,6,25,18.7421875,0.0,-0.050613113,0.125925926,-0.008547009,1
11.8,107,1624.0,2022,6,27,18.7421875,0.0,-0.050613113,0.125925926,-0.008547009,1
12.0,101,2861.0,2022,6,29,18.7421875,0.0,-0.050613113,0.111111111,-0.025641026,1
11.6,173,2477.19,2022,7,2,18.7421875,0.0,-0.050613113,0.275,0.033333333,1
11.6,182,444.52,2022,7,7,18.7421875,0.0,-0.050613113,0.064516129,0.008547009,1
12.2,80,377.45,2022,7,9,18.7421875,0.0,-0.050613113,0.054263566,-0.025210084,1
12.2,90,597.04,2022,7,10,18.7421875,0.0,-0.050613113,0.054263566,-0.025210084,1
12.2,122,562.1,2022,7,11,18.7421875,0.0,-0.050613113,0.054263566,-0.025210084,1
12.2,125,745.68,2022,7,13,18.7421875,0.0,-0.050613113,0.054263566,-0.016666667,1
11.2,102,2171.76,2022,7,22,18.7421875,0.0,-0.050613113,0.131782946,0.066666667,1
10.7,167,1030.68,2022,7,24,18.7421875,0.0,-0.050613113,0.085470085,0.077586207,1
11.6,131,431.45,2022,7,26,18.7421875,0.0,-0.050613113,0.100775194,0.0,1
12.2,156,682.17,2022,7,30,18.7421875,0.0,-0.050613113,0.054263566,-0.016666667,1
10.1,271,3861.49,2022,8,10,18.7421875,0.0,-0.050613113,0.136752137,0.09009009,1
11.4,225,2466.74,2022,8,12,18.7421875,0.0,-0.050613113,0.11627907,0.017241379,1
12.2,120,1346.84,2022,8,22,18.7421875,0.0,-0.050613113,0.054263566,-0.051724138,1
11.8,128,1578.53,2022,8,25,18.7421875,0.0,-0.050613113,0.085271318,-0.017241379,1
11.8,121,1527.22,2022,8,26,18.7421875,0.0,-0.050613113,0.085271318,-0.017241379,1
11.8,126,2223.51,2022,8,29,18.7421875,0.0,-0.050613113,0.085271318,-0.017241379,1
11.8,181,2731.93,2022,9,2,18.7421875,0.0,-0.050613113,0.119402985,0.016666667,1
12.2,64,1176.18,2022,9,14,18.7421875,0.0,-0.050613113,0.075757576,-0.051724138,1
12.2,72,555.81,2022,9,17,18.7421875,0.0,-0.050613113,0.089552239,-0.051724138,1
12.2,76,530.26,2022,9,20,18.7421875,0.0,-0.050613113,0.089552239,-0.051724138,1
10.9,121,1445.23,2022,9,22,18.7421875,0.0,-0.050613113,-0.068627451,0.060344828,1
10.3,129,2100.91,2022,9,26,18.7421875,0.0,-0.050613113,0.046296296,0.112068966,1
10.9,162,1990.33,2022,9,27,18.7421875,0.0,-0.050613113,-0.009259259,0.060344828,1
9.1,119,0.0,2021,1,2,13.80921053,-0.050025013,-0.050550551,0.141509434,0.09,2
9.2,94,0.0,2021,1,5,14.46710526,-0.100050025,-0.100600601,0.132075472,0.089108911,2
9.2,95,0.0,2021,1,9,13.80921053,-0.050025013,-0.050550551,0.132075472,0.089108911,2
9.2,91,0.0,2021,1,11,13.80921053,-0.050025013,-0.050550551,0.132075472,0.089108911,2
9.2,97,0.0,2021,1,13,13.80921053,-0.050025013,-0.050550551,0.132075472,0.089108911,2
9.2,54,0.0,2021,1,15,14.46710526,-0.100050025,-0.100600601,0.132075472,0.089108911,2
9.2,100,0.0,2021,1,18,14.46710526,-0.100050025,-0.100600601,0.132075472,0.089108911,2
8.7,101,0.0,2021,1,19,13.80921053,-0.050025013,-0.050550551,0.112244898,0.084210526,2
8.7,131,0.0,2021,1,21,13.80921053,-0.050025013,-0.050550551,0.138613861,0.121212121,2
8.7,278,0.0,2021,1,24,14.46710526,-0.100050025,-0.100600601,0.138613861,0.09375,2
9.7,66,0.0,2021,1,29,14.46710526,-0.100050025,-0.100600601,0.08490566,0.0,2
9.1,72,0.0,2021,2,2,13.80921053,0.086994345,-0.050550551,0.141509434,0.052083333,2
10.0,31,0.0,2021,2,4,14.46710526,0.043497173,-0.100600601,0.056603774,-0.041666667,2
9.7,84,0.0,2021,2,10,14.46710526,0.043497173,-0.100600601,0.08490566,0.0,2
9.5,68,0.0,2021,2,17,14.46710526,-0.100050025,-0.100600601,0.103773585,0.0,2
9.5,95,0.0,2021,2,25,14.46710526,-0.100050025,-0.100600601,0.103773585,0.030612245,2
9.6,143,0.0,2021,3,5,14.46710526,-0.100050025,-0.100600601,0.127272727,-0.090909091,2
9.6,116,0.0,2021,3,8,14.46710526,-0.100050025,-0.100600601,0.127272727,0.020408163,2
9.6,103,0.0,2021,3,9,13.80921053,-0.050025013,-0.050550551,0.127272727,-0.043478261,2
9.6,94,0.0,2021,3,10,14.46710526,-0.100050025,-0.100600601,0.127272727,-0.043478261,2
9.6,67,0.0,2021,3,11,14.46710526,-0.100050025,-0.100600601,0.127272727,-0.043478261,2
9.6,58,0.0,2021,3,13,13.80921053,-0.050025013,-0.050550551,0.094339623,-0.043478261,2
9.5,67,0.0,2021,3,17,13.80921053,-0.050025013,-0.050550551,0.136363636,-0.032608696,2
9.4,99,0.0,2021,3,25,13.80921053,-0.050025013,-0.050550551,0.137614679,-0.068181818,2
9.4,74,0.0,2021,3,29,15.125,-0.150075038,-0.150650651,0.113207547,-0.068181818,2
9.4,78,0.0,2021,3,30,15.125,-0.150075038,-0.150650651,0.113207547,-0.068181818,2
9.4,73,0.0,2021,3,31,15.125,-0.150075038,-0.150650651,0.113207547,-0.068181818,2
9.4,95,0.0,2021,4,2,14.46710526,-0.100050025,-0.100600601,0.040816327,-0.068181818,2
9.8,77,0.0,2021,4,4,14.46710526,-0.100050025,-0.100600601,0.109090909,-0.152941176,2
9.8,70,0.0,2021,4,8,14.46710526,-0.100050025,-0.100600601,0.075471698,-0.126436782,2
9.8,76,0.0,2021,4,10,14.46710526,0.043497173,-0.100600601,0.075471698,-0.126436782,2
9.5,81,0.0,2021,4,13,15.125,0.0,-0.150650651,0.103773585,-0.091954023,2
9.5,89,0.0,2021,4,14,15.125,0.0,-0.150650651,0.103773585,-0.091954023,2
9.6,95,0.0,2021,4,17,15.125,0.0,-0.150650651,0.094339623,-0.129411765,2
9.4,92,0.0,2021,4,21,15.125,0.0,-0.150650651,0.145454545,-0.105882353,2
9.4,60,0.0,2021,4,23,14.46710526,0.043497173,-0.100600601,0.145454545,-0.105882353,2
9.4,97,0.0,2021,4,28,14.46710526,0.043497173,-0.100600601,0.145454545,-0.105882353,2
9.4,80,0.0,2021,5,13,14.46710526,0.043497173,-0.100600601,0.113207547,0.010526316,2
9.4,101,0.0,2021,5,15,14.46710526,0.043497173,-0.100600601,0.096153846,-0.105882353,2
8.9,139,0.0,2021,5,28,14.46710526,-0.100050025,-0.100600601,0.118811881,0.043010753,2
9.0,114,147.0,2021,6,6,13.80921053,-0.050025013,-0.050550551,0.042553191,-0.022727273,2
10.1,82,553.0,2021,6,12,14.46710526,-0.100050025,-0.100600601,0.038095238,-0.086021505,2
9.5,83,179.0,2021,6,13,13.80921053,-0.050025013,-0.050550551,-0.032608696,-0.043956044,2
9.4,57,306.0,2021,6,16,14.46710526,-0.100050025,-0.100600601,-0.056179775,-0.032967033,2
9.4,82,414.0,2021,6,18,13.80921053,-0.050025013,-0.050550551,0.104761905,-0.010752688,2
10.0,44,306.0,2021,6,19,13.80921053,-0.050025013,-0.050550551,-0.020408163,-0.075268817,2
10.3,40,122.0,2021,6,22,14.46710526,-0.100050025,-0.100600601,-0.119565217,-0.107526882,2
9.4,40,193.0,2021,6,26,14.46710526,-0.100050025,-0.100600601,-0.032967033,-0.010752688,2
9.4,62,195.0,2021,6,28,14.46710526,-0.100050025,-0.100600601,0.104761905,-0.010752688,2
9.2,59,43.0,2021,7,2,14.46710526,-0.100050025,-0.100600601,-0.010989011,-0.045454545,2
9.2,62,193.0,2021,7,4,14.46710526,-0.100050025,-0.100600601,0.031578947,-0.045454545,2
9.4,54,337.0,2021,7,6,14.46710526,-0.100050025,-0.100600601,0.010526316,-0.068181818,2
9.4,82,142.0,2021,7,12,14.46710526,-0.100050025,-0.100600601,0.06,0.160714286,2
9.4,74,30.0,2021,7,13,14.46710526,0.043497173,-0.100600601,0.06,0.160714286,2
9.4,65,0.0,2021,7,14,14.46710526,0.043497173,-0.100600601,0.06,0.160714286,2
9.4,69,170.0,2021,7,15,14.46710526,-0.100050025,-0.571837026,0.06,-0.02173913,2
9.4,53,65.0,2021,7,17,14.46710526,0.043497173,-0.571837026,0.010526316,-0.02173913,2
9.4,47,0.0,2021,7,19,14.46710526,0.043497173,-0.100600601,0.06,-0.02173913,2
9.4,61,0.0,2021,7,20,14.46710526,0.043497173,-0.100600601,0.06,-0.02173913,2
9.4,34,37.0,2021,7,24,14.46710526,0.043497173,-0.100600601,0.040816327,-0.02173913,2
8.3,142,58.0,2021,7,30,14.46710526,0.043497173,-0.100600601,0.087912088,0.056818182,2
8.6,71,0.0,2021,8,5,15.125,0.0,-0.150650651,0.054945055,-0.011764706,2
8.6,79,59.0,2021,8,9,14.46710526,-0.100050025,-0.100600601,0.054945055,-0.011764706,2
8.6,70,0.0,2021,8,10,14.46710526,-0.100050025,-0.100600601,0.054945055,-0.011764706,2
9.1,81,57.0,2021,8,17,14.46710526,0.043497173,-0.100600601,0.09,0.010869565,2
9.1,65,14.0,2021,8,19,14.46710526,0.043497173,-0.100600601,0.09,0.010869565,2
9.1,68,96.0,2021,8,20,14.46710526,0.043497173,-0.100600601,0.0,0.010869565,2
9.1,50,106.0,2021,8,22,13.80921053,0.086994345,-0.050550551,0.0,0.010869565,2
9.1,60,375.0,2021,8,23,14.46710526,0.043497173,-0.100600601,0.0,0.010869565,2
9.1,75,514.0,2021,8,25,14.46710526,0.043497173,-0.100600601,0.09,0.010869565,2
9.4,28,125.0,2021,8,29,14.46710526,0.043497173,-0.100600601,0.06,-0.02173913,2
